frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.proto,frame.len,tcp.flags
1759430479.908560000,44.228.249.3,192.168.110.128,2135,48606,,,6,60,0x0014
1759430479.908561000,44.228.249.3,192.168.110.128,10012,48606,,,6,60,0x0014
1759430479.908562000,44.228.249.3,192.168.110.128,49167,48606,,,6,60,0x0014
1759430479.908563000,44.228.249.3,192.168.110.128,3269,48606,,,6,60,0x0014
1759430479.908564000,44.228.249.3,192.168.110.128,65389,48606,,,6,60,0x0014
1759430479.908564000,44.228.249.3,192.168.110.128,32774,48606,,,6,60,0x0014
1759430479.908565000,44.228.249.3,192.168.110.128,2604,48606,,,6,60,0x0014
1759430479.908567000,44.228.249.3,192.168.110.128,3325,48608,,,6,60,0x0014
1759430479.908579000,44.228.249.3,192.168.110.128,1974,48608,,,6,60,0x0014
1759430479.908580000,44.228.249.3,192.168.110.128,3580,48608,,,6,60,0x0014
1759430479.908591000,44.228.249.3,192.168.110.128,3580,48606,,,6,60,0x0014
1759430479.908592000,44.228.249.3,192.168.110.128,5801,48606,,,6,60,0x0014
1759430479.908600000,44.228.249.3,192.168.110.128,389,48606,,,6,60,0x0014
1759430479.908608000,44.228.249.3,192.168.110.128,33,48606,,,6,60,0x0014
1759430479.908609000,44.228.249.3,192.168.110.128,2998,48606,,,6,60,0x0014
1759430479.908610000,44.228.249.3,192.168.110.128,1105,48606,,,6,60,0x0014
1759430479.908611000,44.228.249.3,192.168.110.128,1580,48606,,,6,60,0x0014
1759430479.908611000,44.228.249.3,192.168.110.128,912,48608,,,6,60,0x0014
1759430479.908620000,44.228.249.3,192.168.110.128,20828,48606,,,6,60,0x0014
1759430479.908620000,44.228.249.3,192.168.110.128,4899,48606,,,6,60,0x0014
1759430479.908628000,44.228.249.3,192.168.110.128,119,48606,,,6,60,0x0014
1759430479.908629000,44.228.249.3,192.168.110.128,1580,48608,,,6,60,0x0014
1759430479.908630000,44.228.249.3,192.168.110.128,1863,48608,,,6,60,0x0014
1759430479.908631000,44.228.249.3,192.168.110.128,32770,48608,,,6,60,0x0014
1759430498.943889000,44.228.249.3,192.168.110.128,2119,48608,,,6,60,0x0014
1759430498.943951000,44.228.249.3,192.168.110.128,13456,48608,,,6,60,0x0014
1759430498.943987000,44.228.249.3,192.168.110.128,617,48608,,,6,60,0x0014
1759430498.944000000,44.228.249.3,192.168.110.128,1117,48608,,,6,60,0x0014
1759430498.944019000,44.228.249.3,192.168.110.128,8333,48608,,,6,60,0x0014
1759430498.944020000,44.228.249.3,192.168.110.128,20828,48608,,,6,60,0x0014
1759430498.944021000,44.228.249.3,192.168.110.128,255,48608,,,6,60,0x0014
1759430498.944022000,44.228.249.3,192.168.110.128,2604,48608,,,6,60,0x0014
1759430498.944023000,44.228.249.3,192.168.110.128,119,48608,,,6,60,0x0014
1759430498.944024000,44.228.249.3,192.168.110.128,705,48608,,,6,60,0x0014
1759430498.944088000,44.228.249.3,192.168.110.128,9502,48606,,,6,60,0x0014
1759430498.944097000,44.228.249.3,192.168.110.128,5003,48608,,,6,60,0x0014
1759430498.944098000,44.228.249.3,192.168.110.128,5960,48608,,,6,60,0x0014
1759430498.944099000,44.228.249.3,192.168.110.128,10012,48608,,,6,60,0x0014
1759430498.944100000,44.228.249.3,192.168.110.128,32774,48608,,,6,60,0x0014
1759430498.944101000,44.228.249.3,192.168.110.128,33,48608,,,6,60,0x0014
1759430498.944203000,44.228.249.3,192.168.110.128,6005,48608,,,6,60,0x0014
1759430498.944255000,44.228.249.3,192.168.110.128,3737,48608,,,6,60,0x0014
1759430498.944257000,44.228.249.3,192.168.110.128,2135,48608,,,6,60,0x0014
1759430498.944271000,44.228.249.3,192.168.110.128,1494,48608,,,6,60,0x0014
1759430498.944272000,44.228.249.3,192.168.110.128,3814,48608,,,6,60,0x0014
1759430498.944308000,44.228.249.3,192.168.110.128,12000,48608,,,6,60,0x0014
1759430498.944309000,44.228.249.3,192.168.110.128,64623,48608,,,6,60,0x0014
1759430498.944310000,44.228.249.3,192.168.110.128,2702,48606,,,6,60,0x0014
1759430498.944311000,44.228.249.3,192.168.110.128,5214,48608,,,6,60,0x0014
1759430498.944326000,44.228.249.3,192.168.110.128,8089,48608,,,6,60,0x0014
1759430498.956682000,44.228.249.3,192.168.110.128,80,48623,,,6,60,0x0004
1759430498.956782000,44.228.249.3,192.168.110.128,80,48625,,,6,60,0x0004
1759430498.956827000,44.228.249.3,192.168.110.128,80,48627,,,6,60,0x0004
1759430498.957361000,44.228.249.3,192.168.110.128,80,48631,,,6,60,0x0004
1759430498.957990000,44.228.249.3,192.168.110.128,80,48633,,,6,60,0x0004
1759430498.958409000,44.228.249.3,192.168.110.128,80,48635,,,6,60,0x0004
1759430498.958960000,44.228.249.3,192.168.110.128,80,48637,,,6,60,0x0004
1759430498.959384000,44.228.249.3,192.168.110.128,80,48639,,,6,60,0x0004
1759430498.960259000,44.228.249.3,192.168.110.128,80,48641,,,6,60,0x0004
1759430498.960967000,44.228.249.3,192.168.110.128,80,48643,,,6,60,0x0004
1759430498.961475000,44.228.249.3,192.168.110.128,80,48645,,,6,60,0x0004
1759430498.962011000,44.228.249.3,192.168.110.128,80,48647,,,6,60,0x0004
1759430498.962512000,44.228.249.3,192.168.110.128,80,48649,,,6,60,0x0004
1759430498.963049000,44.228.249.3,192.168.110.128,80,48651,,,6,60,0x0004
1759430498.963559000,44.228.249.3,192.168.110.128,80,48653,,,6,60,0x0004
1759430498.964171000,44.228.249.3,192.168.110.128,80,48655,,,6,60,0x0004
1759430498.964570000,44.228.249.3,192.168.110.128,80,48663,,,6,60,0x0004
1759430503.801277000,44.228.249.3,192.168.110.128,80,48665,,,6,60,0x0004
1759430505.058794000,44.228.249.3,192.168.110.128,80,48667,,,6,60,0x0004
1759430506.310993000,44.228.249.3,192.168.110.128,80,48669,,,6,60,0x0004
1759430507.569453000,44.228.249.3,192.168.110.128,80,48671,,,6,60,0x0004
1759430508.829865000,44.228.249.3,192.168.110.128,80,48673,,,6,60,0x0004
1759430510.080406000,44.228.249.3,192.168.110.128,80,48675,,,6,60,0x0004
1759430511.335241000,44.228.249.3,192.168.110.128,80,48677,,,6,60,0x0004
1759430512.587963000,44.228.249.3,192.168.110.128,80,48679,,,6,60,0x0004
1759430513.849436000,44.228.249.3,192.168.110.128,80,48681,,,6,60,0x0004
1759430515.104904000,44.228.249.3,192.168.110.128,80,48683,,,6,60,0x0004
1759430516.363157000,44.228.249.3,192.168.110.128,80,48685,,,6,60,0x0004
1759430517.622246000,44.228.249.3,192.168.110.128,80,48687,,,6,60,0x0004
1759430518.002830000,44.228.249.3,192.168.110.128,32770,48610,,,6,60,0x0014
1759430518.002848000,44.228.249.3,192.168.110.128,389,48610,,,6,60,0x0014
1759430518.002849000,44.228.249.3,192.168.110.128,9502,48608,,,6,60,0x0014
1759430518.002850000,44.228.249.3,192.168.110.128,1783,48606,,,6,60,0x0014
1759430518.002851000,44.228.249.3,192.168.110.128,2604,48610,,,6,60,0x0014
1759430518.002859000,44.228.249.3,192.168.110.128,8654,48606,,,6,60,0x0014
1759430518.003044000,44.228.249.3,192.168.110.128,5903,48610,,,6,60,0x0014
1759430518.003048000,44.228.249.3,192.168.110.128,7025,48608,,,6,60,0x0014
1759430518.003049000,44.228.249.3,192.168.110.128,10024,48606,,,6,60,0x0014
1759430518.003050000,44.228.249.3,192.168.110.128,3333,48608,,,6,60,0x0014
1759430518.003336000,44.228.249.3,192.168.110.128,2022,48606,,,6,60,0x0014
1759430518.003337000,44.228.249.3,192.168.110.128,3351,48608,,,6,60,0x0014
1759430518.003338000,44.228.249.3,192.168.110.128,8222,48606,,,6,60,0x0014
1759430518.003339000,44.228.249.3,192.168.110.128,8222,48608,,,6,60,0x0014
1759430518.003339000,44.228.249.3,192.168.110.128,2394,48606,,,6,60,0x0014
1759430518.003340000,44.228.249.3,192.168.110.128,32777,48610,,,6,60,0x0014
1759430518.003348000,44.228.249.3,192.168.110.128,301,48606,,,6,60,0x0014
1759430518.003376000,44.228.249.3,192.168.110.128,301,48610,,,6,60,0x0014
1759430518.003377000,44.228.249.3,192.168.110.128,10003,48606,,,6,60,0x0014
1759430518.003378000,44.228.249.3,192.168.110.128,10003,48610,,,6,60,0x0014
1759430518.003379000,44.228.249.3,192.168.110.128,1001,48610,,,6,60,0x0014
1759430518.003380000,44.228.249.3,192.168.110.128,714,48606,,,6,60,0x0014
1759430518.003434000,44.228.249.3,192.168.110.128,1352,48608,,,6,60,0x0014
1759430518.003436000,44.228.249.3,192.168.110.128,6566,48608,,,6,60,0x0014
1759430518.003437000,44.228.249.3,192.168.110.128,2009,48608,,,6,60,0x0014
1759430518.003438000,44.228.249.3,192.168.110.128,8654,48608,,,6,60,0x0014
1759430518.003439000,44.228.249.3,192.168.110.128,44501,48610,,,6,60,0x0014
1759430518.003440000,44.228.249.3,192.168.110.128,8654,48610,,,6,60,0x0014
1759430518.003440000,44.228.249.3,192.168.110.128,3580,48610,,,6,60,0x0014
1759430518.003441000,44.228.249.3,192.168.110.128,912,48610,,,6,60,0x0014
1759430518.003442000,44.228.249.3,192.168.110.128,1974,48610,,,6,60,0x0014
1759430518.003443000,44.228.249.3,192.168.110.128,1056,48610,,,6,60,0x0014
1759430518.008760000,44.228.249.3,192.168.110.128,1417,48610,,,6,60,0x0014
1759430518.008963000,44.228.249.3,192.168.110.128,125,48606,,,6,60,0x0014
1759430518.008964000,44.228.249.3,192.168.110.128,125,48608,,,6,60,0x0014
1759430518.008965000,44.228.249.3,192.168.110.128,41511,48608,,,6,60,0x0014
1759430518.008966000,44.228.249.3,192.168.110.128,1108,48606,,,6,60,0x0014
1759430518.008967000,44.228.249.3,192.168.110.128,1108,48608,,,6,60,0x0014
1759430518.008968000,44.228.249.3,192.168.110.128,2111,48610,,,6,60,0x0014
1759430518.008969000,44.228.249.3,192.168.110.128,898,48610,,,6,60,0x0014
1759430518.008969000,44.228.249.3,192.168.110.128,3006,48610,,,6,60,0x0014
1759430518.009809000,44.228.249.3,192.168.110.128,8292,48606,,,6,60,0x0014
1759430518.009815000,44.228.249.3,192.168.110.128,1234,48606,,,6,60,0x0014
1759430518.009816000,44.228.249.3,192.168.110.128,8021,48608,,,6,60,0x0014
1759430518.009817000,44.228.249.3,192.168.110.128,1002,48606,,,6,60,0x0014
1759430518.009818000,44.228.249.3,192.168.110.128,19780,48610,,,6,60,0x0014
1759430518.009819000,44.228.249.3,192.168.110.128,1002,48610,,,6,60,0x0014
1759430518.009820000,44.228.249.3,192.168.110.128,6101,48606,,,6,60,0x0014
1759430518.009827000,44.228.249.3,192.168.110.128,9418,48606,,,6,60,0x0014
1759430518.009828000,44.228.249.3,192.168.110.128,417,48608,,,6,60,0x0014
1759430518.009829000,44.228.249.3,192.168.110.128,24444,48610,,,6,60,0x0014
1759430518.009859000,44.228.249.3,192.168.110.128,6129,48610,,,6,60,0x0014
1759430518.009860000,44.228.249.3,192.168.110.128,1108,48610,,,6,60,0x0014
1759430518.009861000,44.228.249.3,192.168.110.128,636,48606,,,6,60,0x0014
1759430518.009862000,44.228.249.3,192.168.110.128,18988,48608,,,6,60,0x0014
1759430518.009863000,44.228.249.3,192.168.110.128,1035,48610,,,6,60,0x0014
1759430518.009863000,44.228.249.3,192.168.110.128,18988,48610,,,6,60,0x0014
1759430518.009875000,44.228.249.3,192.168.110.128,2366,48610,,,6,60,0x0014
1759430518.009876000,44.228.249.3,192.168.110.128,2160,48606,,,6,60,0x0014
1759430518.009877000,44.228.249.3,192.168.110.128,1503,48608,,,6,60,0x0014
1759430518.009878000,44.228.249.3,192.168.110.128,714,48610,,,6,60,0x0014
1759430518.009890000,44.228.249.3,192.168.110.128,14442,48610,,,6,60,0x0014
1759430518.009891000,44.228.249.3,192.168.110.128,5961,48610,,,6,60,0x0014
1759430518.009892000,44.228.249.3,192.168.110.128,1503,48610,,,6,60,0x0014
1759430518.009892000,44.228.249.3,192.168.110.128,8021,48610,,,6,60,0x0014
1759430518.009893000,44.228.249.3,192.168.110.128,9418,48608,,,6,60,0x0014
1759430518.009893000,44.228.249.3,192.168.110.128,8193,48610,,,6,60,0x0014
1759430518.009894000,44.228.249.3,192.168.110.128,2065,48606,,,6,60,0x0014
1759430518.009895000,44.228.249.3,192.168.110.128,2394,48610,,,6,60,0x0014
1759430518.009895000,44.228.249.3,192.168.110.128,42510,48608,,,6,60,0x0014
1759430518.009896000,44.228.249.3,192.168.110.128,1097,48608,,,6,60,0x0014
1759430518.009897000,44.228.249.3,192.168.110.128,2065,48608,,,6,60,0x0014
1759430518.009904000,44.228.249.3,192.168.110.128,7007,48610,,,6,60,0x0014
1759430518.873208000,44.228.249.3,192.168.110.128,80,48689,,,6,60,0x0004
1759430519.064373000,44.228.249.3,192.168.110.128,9090,48606,,,6,60,0x0014
1759430519.257572000,44.228.249.3,192.168.110.128,1521,48608,,,6,60,0x0014
1759430519.265856000,44.228.249.3,192.168.110.128,80,33482,,,6,60,0x0012
1759430520.313770000,44.228.249.3,192.168.110.128,9090,48608,,,6,60,0x0014
1759430520.513027000,44.228.249.3,192.168.110.128,1521,48610,,,6,60,0x0014
1759430521.575198000,44.228.249.3,192.168.110.128,9090,48610,,,6,60,0x0014
1759430521.791236000,44.228.249.3,192.168.110.128,1328,48606,,,6,60,0x0014
1759430522.858903000,44.228.249.3,192.168.110.128,1087,48606,,,6,60,0x0014
1759430522.873312000,44.228.249.3,192.168.110.128,2608,48606,,,6,60,0x0014
1759430522.873327000,44.228.249.3,192.168.110.128,13722,48606,,,6,60,0x0014
1759430522.887935000,44.228.249.3,192.168.110.128,1721,48606,,,6,60,0x0014
1759430522.901632000,44.228.249.3,192.168.110.128,1862,48606,,,6,60,0x0014
1759430522.901640000,44.228.249.3,192.168.110.128,1328,48608,,,6,60,0x0014
1759430522.915462000,44.228.249.3,192.168.110.128,4001,48606,,,6,60,0x0014
1759430522.915473000,44.228.249.3,192.168.110.128,1875,48606,,,6,60,0x0014
1759430522.929497000,44.228.249.3,192.168.110.128,8701,48606,,,6,60,0x0014
1759430522.943857000,44.228.249.3,192.168.110.128,9943,48606,,,6,60,0x0014
1759430522.958046000,44.228.249.3,192.168.110.128,35500,48606,,,6,60,0x0014
1759430522.972446000,44.228.249.3,192.168.110.128,1277,48606,,,6,60,0x0014
1759430522.972452000,44.228.249.3,192.168.110.128,1152,48606,,,6,60,0x0014
1759430522.972452000,44.228.249.3,192.168.110.128,3071,48606,,,6,60,0x0014
1759430523.000895000,44.228.249.3,192.168.110.128,5405,48606,,,6,60,0x0014
1759430523.015408000,44.228.249.3,192.168.110.128,32778,48606,,,6,60,0x0014
1759430523.015418000,44.228.249.3,192.168.110.128,5560,48606,,,6,60,0x0014
1759430523.029214000,44.228.249.3,192.168.110.128,12265,48606,,,6,60,0x0014
1759430523.042934000,44.228.249.3,192.168.110.128,5718,48606,,,6,60,0x0014
1759430523.057344000,44.228.249.3,192.168.110.128,49158,48606,,,6,60,0x0014
1759430523.057356000,44.228.249.3,192.168.110.128,32,48606,,,6,60,0x0014
1759430523.072026000,44.228.249.3,192.168.110.128,7201,48606,,,6,60,0x0014
1759430523.086083000,44.228.249.3,192.168.110.128,1066,48606,,,6,60,0x0014
1759430523.086091000,44.228.249.3,192.168.110.128,1198,48606,,,6,60,0x0014
1759430523.086092000,44.228.249.3,192.168.110.128,19283,48606,,,6,60,0x0014
1759430523.116047000,44.228.249.3,192.168.110.128,1062,48606,,,6,60,0x0014
1759430523.129412000,44.228.249.3,192.168.110.128,10616,48606,,,6,60,0x0014
1759430523.129421000,44.228.249.3,192.168.110.128,9998,48606,,,6,60,0x0014
1759430523.138741000,44.228.249.3,192.168.110.128,1085,48606,,,6,60,0x0014
1759430523.152973000,44.228.249.3,192.168.110.128,20031,48606,,,6,60,0x0014
1759430523.152985000,44.228.249.3,192.168.110.128,9917,48606,,,6,60,0x0014
1759430523.166753000,44.228.249.3,192.168.110.128,2525,48606,,,6,60,0x0014
1759430523.181250000,44.228.249.3,192.168.110.128,5678,48606,,,6,60,0x0014
1759430523.196099000,44.228.249.3,192.168.110.128,3372,48606,,,6,60,0x0014
1759430523.196115000,44.228.249.3,192.168.110.128,6788,48606,,,6,60,0x0014
1759430523.210115000,44.228.249.3,192.168.110.128,7443,48606,,,6,60,0x0014
1759430523.224255000,44.228.249.3,192.168.110.128,1022,48606,,,6,60,0x0014
1759430523.238038000,44.228.249.3,192.168.110.128,1053,48606,,,6,60,0x0014
1759430523.238047000,44.228.249.3,192.168.110.128,667,48606,,,6,60,0x0014
1759430523.253614000,44.228.249.3,192.168.110.128,1086,48606,,,6,60,0x0014
1759430523.253619000,44.228.249.3,192.168.110.128,9944,48606,,,6,60,0x0014
1759430523.272021000,44.228.249.3,192.168.110.128,5922,48606,,,6,60,0x0014
1759430523.287009000,44.228.249.3,192.168.110.128,49157,48606,,,6,60,0x0014
1759430523.287022000,44.228.249.3,192.168.110.128,6112,48606,,,6,60,0x0014
1759430523.314284000,44.228.249.3,192.168.110.128,1169,48606,,,6,60,0x0014
1759430523.328668000,44.228.249.3,192.168.110.128,9500,48606,,,6,60,0x0014
1759430523.328677000,44.228.249.3,192.168.110.128,5730,48606,,,6,60,0x0014
1759430523.342098000,44.228.249.3,192.168.110.128,2222,48606,,,6,60,0x0014
1759430523.342111000,44.228.249.3,192.168.110.128,259,48606,,,6,60,0x0014
1759430523.355721000,44.228.249.3,192.168.110.128,2191,48606,,,6,60,0x0014
1759430523.369629000,44.228.249.3,192.168.110.128,26214,48606,,,6,60,0x0014
1759430523.369634000,44.228.249.3,192.168.110.128,1998,48606,,,6,60,0x0014
1759430523.397392000,44.228.249.3,192.168.110.128,406,48606,,,6,60,0x0014
1759430523.397398000,44.228.249.3,192.168.110.128,9011,48606,,,6,60,0x0014
1759430523.397399000,44.228.249.3,192.168.110.128,27353,48606,,,6,60,0x0014
1759430523.428152000,44.228.249.3,192.168.110.128,1461,48606,,,6,60,0x0014
1759430523.440302000,44.228.249.3,192.168.110.128,9081,48606,,,6,60,0x0014
1759430523.440313000,44.228.249.3,192.168.110.128,17877,48606,,,6,60,0x0014
1759430523.454203000,44.228.249.3,192.168.110.128,6389,48606,,,6,60,0x0014
1759430523.468512000,44.228.249.3,192.168.110.128,8000,48606,,,6,60,0x0014
1759430523.468517000,44.228.249.3,192.168.110.128,4111,48606,,,6,60,0x0014
1759430523.482323000,44.228.249.3,192.168.110.128,7741,48606,,,6,60,0x0014
1759430523.496613000,44.228.249.3,192.168.110.128,5080,48606,,,6,60,0x0014
1759430523.511196000,44.228.249.3,192.168.110.128,3493,48606,,,6,60,0x0014
1759430523.511201000,44.228.249.3,192.168.110.128,1272,48606,,,6,60,0x0014
1759430523.525425000,44.228.249.3,192.168.110.128,1311,48606,,,6,60,0x0014
1759430523.540555000,44.228.249.3,192.168.110.128,9898,48606,,,6,60,0x0014
1759430523.552910000,44.228.249.3,192.168.110.128,2909,48606,,,6,60,0x0014
1759430523.552914000,44.228.249.3,192.168.110.128,19842,48606,,,6,60,0x0014
1759430523.566797000,44.228.249.3,192.168.110.128,2144,48606,,,6,60,0x0014
1759430523.580832000,44.228.249.3,192.168.110.128,544,48606,,,6,60,0x0014
1759430523.610584000,44.228.249.3,192.168.110.128,1192,48606,,,6,60,0x0014
1759430523.610599000,44.228.249.3,192.168.110.128,1010,48606,,,6,60,0x0014
1759430523.623874000,44.228.249.3,192.168.110.128,2041,48606,,,6,60,0x0014
1759430523.623888000,44.228.249.3,192.168.110.128,9485,48606,,,6,60,0x0014
1759430523.636667000,44.228.249.3,192.168.110.128,1947,48606,,,6,60,0x0014
1759430523.650481000,44.228.249.3,192.168.110.128,1063,48606,,,6,60,0x0014
1759430523.956261000,44.228.249.3,192.168.110.128,1087,48608,,,6,60,0x0014
1759430523.956274000,44.228.249.3,192.168.110.128,13722,48608,,,6,60,0x0014
1759430523.970758000,44.228.249.3,192.168.110.128,2608,48608,,,6,60,0x0014
