frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,ip.proto,frame.len,tcp.flags,http.request.method,http.request.uri,http.host,data.text,src_port,dst_port,tcp.flags.int,flag_fin,flag_syn,flag_rst,flag_psh,flag_ack,flag_urg
1759895179.897368,44.228.249.3,172.20.10.7,80,53668,0,0,6,2678,0x0018,,,,,80,53668,24,0,0,0,1,1,0
1759895179.897368,44.228.249.3,172.20.10.7,80,53668,0,0,6,451,0x0019,,,,,80,53668,25,1,0,0,1,1,0
1759895180.226726,44.228.249.3,172.20.10.7,80,53668,0,0,6,66,0x0010,,,,,80,53668,16,0,0,0,0,1,0
1759895190.539935,44.228.249.3,172.20.10.7,80,53682,0,0,6,66,0x0011,,,,,80,53682,17,1,0,0,0,1,0
1759895200.488998,44.228.249.3,172.20.10.7,80,36226,0,0,6,74,0x0012,,,,,80,36226,18,0,1,0,0,1,0
1759895200.488998,44.228.249.3,172.20.10.7,80,36242,0,0,6,74,0x0012,,,,,80,36242,18,0,1,0,0,1,0
1759895200.889772,44.228.249.3,172.20.10.7,80,36226,0,0,6,66,0x0010,,,,,80,36226,16,0,0,0,0,1,0
1759895200.889772,44.228.249.3,172.20.10.7,80,36226,0,0,6,2678,0x0018,,,,,80,36226,24,0,0,0,1,1,0
1759895200.889772,44.228.249.3,172.20.10.7,80,36226,0,0,6,451,0x0019,,,,,80,36226,25,1,0,0,1,1,0
1759895201.196369,44.228.249.3,172.20.10.7,80,36226,0,0,6,66,0x0010,,,,,80,36226,16,0,0,0,0,1,0
1759895220.316116,44.228.249.3,172.20.10.7,80,36242,0,0,6,66,0x0011,,,,,80,36242,17,1,0,0,0,1,0
